taxon	longitude	latitude
254	-7.40749767871231	7.11788158862438
258	-10.6728058800249	10.8953875325782
261	-10.3431812232625	10.3927194749705
272	-11.5433941461091	11.7515235921727
273	-10.4337521753951	9.8140242094836
275	-11.7506005795839	8.86916569654966
279	-13.4056996877859	10.2330038195285
282	-10.8206303462411	11.0855988529933
284	-9.68540263303459	14.3279949807046
285	-10.0797570351067	12.0213843421964
287	-11.5951824557336	12.5911078548814
298	-7.82714783239651	5.99272805675736
301	-9.48296180082146	8.88969344919259
302	-9.11015808176159	7.79906152081925
309	-7.61341609239	5.63722196593351
314	-10.6122067566515	13.5489319067662
316	-7.69855965408785	6.08541538410639
319	-12.937947881299	8.98277564069274
330	-7.83918903060867	10.1417167999085
335	-10.4715529499686	8.43683315568381
336	-9.47293316719496	8.39887551164554
347	-9.66629926857419	11.9257472139555
350	-13.888813123818	10.287009063011
351	-7.83650057303347	9.68592685067683
352	-5.24373095948905	6.94461771472058
353	-14.0023728995585	10.8938457767872
356	-12.3918746468685	11.2160277553932
357	-10.1910009712088	12.7019859207633
360	-10.2592313682022	8.43173188593992
366	-10.839465467668	9.33419018572235
381	-5.67880574930769	6.90227590485787
383	-8.10953382729198	9.51057455013785
393	-11.8741008588794	10.7727348828901
394	-13.4207604238068	11.9912293642048
396	-10.1971992878188	8.59596264368793
397	-4.75420551378703	7.40322168920933
402	-9.89656657268839	8.43240724221059
406	-12.8546491611296	11.8369693228472
408	-8.37387885383894	8.07307994906397
416	-9.48970640287703	7.95437484151794
421	-10.5821183849196	13.3876949387392
432	-8.07384426180863	8.33811836812818
439	-14.7930860771244	11.7019859727827
443	-7.6359068025287	6.15798649030099
444	-5.48862768024622	7.53625017099825
448	-8.16226222151489	4.64182586307288
449	-12.6306759876923	10.6193894830241
450	-14.1402677119274	10.1347989544291
451	-9.2999960542705	8.08522986740435
458	-15.1169581485758	11.8785237501827
459	-11.9245108997384	9.25682173230526
462	-6.11447616831622	6.11587855245832
464	-7.79065187823396	8.69628746101425
471	-13.5288540513988	13.9974289155523
